owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
rh12503,triangula,3824,119,44,False,False,"[{'name': 'Go', 'size': 114263}]",1,"[{'name': 'triangula', 'stars': 1}, {'name': 'triangles', 'stars': 0}, {'name': 'evolutionary-algorithms', 'stars': 34}, {'name': 'evolutionary-art', 'stars': 2}, {'name': 'genetic-algorithm', 'stars': 82}, {'name': 'gui', 'stars': 351}, {'name': 'generative-art', 'stars': 353}, {'name': 'golang', 'stars': 1856}, {'name': 'art', 'stars': 362}, {'name': 'go', 'stars': 58453}]",11,29539,3,20,Generate high-quality triangulated and polygonal art from images.,Go,2021-04-02T12:38:24Z,2021-09-02T02:11:07Z,100.0,MIT License,1,,True,rh12503/triangula,,3
herrbischoff,awesome-command-line-apps,3824,313,140,False,True,[],0,"[{'name': 'shell', 'stars': 22608}, {'name': 'unix', 'stars': 158}, {'name': 'software', 'stars': 664}, {'name': 'apps', 'stars': 207}, {'name': 'awesome', 'stars': 68077}, {'name': 'list', 'stars': 119}, {'name': 'awesome-list', 'stars': 1707}]",7,0,119,0,:shell: Use your terminal shell to do awesome things.,,2015-11-06T16:52:33Z,2021-09-02T13:27:11Z,1.0,,1,,True,herrbischoff/awesome-command-line-apps,,1
SunWeb3Sec,DeFiHackLabs,3824,737,115,False,False,"[{'name': 'Solidity', 'size': 1555440}]",1,"[{'name': 'defi', 'stars': 147}, {'name': 'ethereum', 'stars': 29566}, {'name': 'foundry', 'stars': 4}, {'name': 'solidity', 'stars': 591}, {'name': 'web3', 'stars': 334}]",5,9232,365,22,Reproduce DeFi hacked incidents using Foundry.,Solidity,2022-06-10T09:57:11Z,2023-08-14T15:52:13Z,1406.0,,1,,True,SunWeb3Sec/DeFiHackLabs,,91
symfony,dom-crawler,3824,123,24,False,False,"[{'name': 'PHP', 'size': 252518}, {'name': 'HTML', 'size': 164}]",2,"[{'name': 'php', 'stars': 52471}, {'name': 'symfony', 'stars': 6019}, {'name': 'component', 'stars': 21}, {'name': 'symfony-component', 'stars': 4}]",4,1943,38,0,Eases DOM navigation for HTML and XML documents,PHP,2011-02-22T18:02:15Z,2023-08-17T15:53:30Z,1298.0,MIT License,2,Other,True,symfony/dom-crawler,,137
insidegui,VirtualBuddy,3823,97,58,False,False,"[{'name': 'Swift', 'size': 439245}, {'name': 'Objective-C', 'size': 11229}, {'name': 'Shell', 'size': 3358}]",3,[],0,10364,94,0,Virtualize macOS 12 and later on Apple Silicon,Swift,2022-04-12T00:07:35Z,2023-08-16T10:44:06Z,344.0,"BSD 2-Clause ""Simplified"" License",4,,True,insidegui/VirtualBuddy,,9
t1m0thyj,WinDynamicDesktop,3823,278,80,False,False,"[{'name': 'C#', 'size': 227926}, {'name': 'Python', 'size': 11331}, {'name': 'Inno Setup', 'size': 6331}, {'name': 'PowerShell', 'size': 3135}]",4,"[{'name': 'windows10', 'stars': 66}, {'name': 'dynamic-desktop', 'stars': 1}, {'name': 'wallpaper', 'stars': 35}]",3,19176,53,384,Port of macOS Mojave Dynamic Desktop feature to Windows 10,C#,2018-06-08T23:32:27Z,2023-08-18T02:16:45Z,483.0,Mozilla Public License 2.0,1,,True,t1m0thyj/WinDynamicDesktop,,17
jina-ai,discoart,3823,248,35,False,False,"[{'name': 'Python', 'size': 119348}, {'name': 'Jupyter Notebook', 'size': 9134}, {'name': 'Shell', 'size': 4760}, {'name': 'Dockerfile', 'size': 786}]",4,"[{'name': 'creative-ai', 'stars': 2}, {'name': 'disco-diffusion', 'stars': 5}, {'name': 'cross-modal', 'stars': 6}, {'name': 'dalle', 'stars': 3}, {'name': 'generative-art', 'stars': 353}, {'name': 'multimodal', 'stars': 17}, {'name': 'diffusion', 'stars': 18}, {'name': 'prompts', 'stars': 23}, {'name': 'midjourney', 'stars': 76}, {'name': 'imgen', 'stars': 0}]",15,30397,88,104,🪩 Create Disco Diffusion artworks in one line,Python,2022-06-30T16:25:31Z,2023-05-16T09:48:00Z,385.0,Other,5,,True,jina-ai/discoart,,7
apple,password-manager-resources,3823,426,99,False,False,"[{'name': 'JavaScript', 'size': 19693}, {'name': 'Ruby', 'size': 3167}, {'name': 'Shell', 'size': 610}]",3,[],0,483,531,154,A place for creators and users of password managers to collaborate on resources to make password management better.,JavaScript,2020-03-19T20:33:29Z,2023-08-01T16:36:07Z,442.0,MIT License,13,Contributor Covenant,True,apple/password-manager-resources,,194
foostan,crkbd,3822,835,90,False,False,"[{'name': 'Makefile', 'size': 121}]",1,"[{'name': 'ergonomic-keyboard', 'stars': 10}, {'name': 'keyboard', 'stars': 56}, {'name': 'mechanical-keyboard', 'stars': 35}, {'name': 'split-keyboard', 'stars': 19}]",4,25493,54,115,"Corne keyboard, a split keyboard with 3x6 column staggered keys and 3 thumb keys.",Makefile,2018-03-25T13:34:05Z,2023-07-14T08:35:50Z,283.0,MIT License,1,,True,foostan/crkbd,,25
h2database,h2database,3822,1157,137,False,False,"[{'name': 'Java', 'size': 11632632}, {'name': 'HTML', 'size': 551624}, {'name': 'PLpgSQL', 'size': 29367}, {'name': 'JavaScript', 'size': 26268}, {'name': 'CSS', 'size': 18588}, {'name': 'PLSQL', 'size': 13333}, {'name': 'NSIS', 'size': 6439}, {'name': 'Batchfile', 'size': 5472}, {'name': 'Shell', 'size': 1164}]",9,"[{'name': 'database', 'stars': 82137}, {'name': 'java', 'stars': 147836}, {'name': 'sql', 'stars': 64584}, {'name': 'jdbc', 'stars': 16}]",4,88057,1729,2138,H2 is an embeddable RDBMS written in Java.,Java,2015-04-10T19:09:09Z,2023-08-18T02:53:43Z,14252.0,Other,5,,True,h2database/h2database,,153
