owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
freeCodeCamp,freeCodeCamp,371122,33158,8446,False,False,"[{'name': 'TypeScript', 'size': 1562670}, {'name': 'JavaScript', 'size': 903938}, {'name': 'CSS', 'size': 177975}, {'name': 'MDX', 'size': 5290}, {'name': 'Dockerfile', 'size': 4189}, {'name': 'EJS', 'size': 2153}, {'name': 'Shell', 'size': 1452}, {'name': 'HTML', 'size': 1215}, {'name': 'Less', 'size': 36}]",9,"[{'name': 'learn-to-code', 'stars': 388}, {'name': 'nonprofits', 'stars': 35}, {'name': 'programming', 'stars': 1749}, {'name': 'nodejs', 'stars': 74528}, {'name': 'react', 'stars': 95607}, {'name': 'd3', 'stars': 61}, {'name': 'careers', 'stars': 52}, {'name': 'education', 'stars': 535}, {'name': 'teachers', 'stars': 30}, {'name': 'javascript', 'stars': 163762}]",16,372202,33649,17010,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,TypeScript,2014-12-24T17:49:19Z,2023-08-18T08:50:17Z,33585.0,"BSD 3-Clause ""New"" or ""Revised"" License",48,Other,True,freeCodeCamp/freeCodeCamp,,387
EbookFoundation,free-programming-books,295895,56913,9733,False,False,[],0,"[{'name': 'education', 'stars': 535}, {'name': 'books', 'stars': 215}, {'name': 'list', 'stars': 119}, {'name': 'resource', 'stars': 21}, {'name': 'hacktoberfest', 'stars': 26059}]",5,17038,8392,957,:books: Freely available programming books,,2013-10-11T06:50:37Z,2023-08-17T07:21:18Z,8386.0,Creative Commons Attribution 4.0 International,13,Contributor Covenant,True,EbookFoundation/free-programming-books,,432
996icu,996.ICU,267804,21532,4242,False,True,[],0,[],0,187799,1962,0,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,2019-03-26T07:31:14Z,2023-06-16T20:06:43Z,3195.0,Other,2,,True,996icu/996.ICU,,398
sindresorhus,awesome,265809,26349,7549,False,False,[],0,"[{'name': 'awesome', 'stars': 68077}, {'name': 'awesome-list', 'stars': 1706}, {'name': 'unicorns', 'stars': 33}, {'name': 'lists', 'stars': 128}, {'name': 'resources', 'stars': 194}]",5,1441,1943,331,😎 Awesome lists about all kinds of interesting topics,,2014-07-11T13:42:37Z,2023-08-17T17:07:48Z,1103.0,Creative Commons Zero v1.0 Universal,1,Contributor Covenant,True,sindresorhus/awesome,,437
jwasham,coding-interview-university,263430,69043,8604,False,False,[],0,"[{'name': 'computer-science', 'stars': 487}, {'name': 'interview', 'stars': 243}, {'name': 'programming-interviews', 'stars': 39}, {'name': 'study-plan', 'stars': 79}, {'name': 'data-structures', 'stars': 71595}, {'name': 'algorithms', 'stars': 397}, {'name': 'software-engineering', 'stars': 157}, {'name': 'algorithm', 'stars': 100617}, {'name': 'coding-interviews', 'stars': 114}, {'name': 'interview-prep', 'stars': 68}]",12,20963,902,402,A complete computer science study plan to become a software engineer.,,2016-06-06T02:34:12Z,2023-08-08T15:19:55Z,2372.0,Creative Commons Attribution Share Alike 4.0 International,1,,True,jwasham/coding-interview-university,,300
public-apis,public-apis,252370,28947,3897,False,False,"[{'name': 'Python', 'size': 40479}, {'name': 'Shell', 'size': 1352}]",2,"[{'name': 'api', 'stars': 90666}, {'name': 'public-apis', 'stars': 18}, {'name': 'free', 'stars': 142}, {'name': 'apis', 'stars': 40}, {'name': 'list', 'stars': 119}, {'name': 'development', 'stars': 459}, {'name': 'software', 'stars': 664}, {'name': 'public', 'stars': 17}, {'name': 'resources', 'stars': 194}, {'name': 'dataset', 'stars': 199}]",13,4948,3016,502,A collective list of free APIs,Python,2016-03-20T23:49:42Z,2023-08-14T10:53:08Z,4527.0,MIT License,13,,True,public-apis/public-apis,,430
kamranahmedse,developer-roadmap,247233,34594,6828,False,False,"[{'name': 'TypeScript', 'size': 426786}, {'name': 'Astro', 'size': 125151}, {'name': 'JavaScript', 'size': 37414}, {'name': 'CSS', 'size': 4235}]",4,"[{'name': 'computer-science', 'stars': 487}, {'name': 'roadmap', 'stars': 183}, {'name': 'developer-roadmap', 'stars': 41}, {'name': 'frontend-roadmap', 'stars': 27}, {'name': 'devops-roadmap', 'stars': 24}, {'name': 'backend-roadmap', 'stars': 16}, {'name': 'react-roadmap', 'stars': 3}, {'name': 'angular-roadmap', 'stars': 1}, {'name': 'python-roadmap', 'stars': 11}, {'name': 'go-roadmap', 'stars': 5}]",18,2089597,2506,1334,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,2017-03-15T13:45:52Z,2023-08-18T07:49:16Z,3633.0,Other,2,Contributor Covenant,True,kamranahmedse/developer-roadmap,,468
donnemartin,system-design-primer,227201,40141,6519,False,False,"[{'name': 'Python', 'size': 57260}, {'name': 'Shell', 'size': 1192}]",2,"[{'name': 'programming', 'stars': 1749}, {'name': 'development', 'stars': 459}, {'name': 'design', 'stars': 922}, {'name': 'design-system', 'stars': 181}, {'name': 'system', 'stars': 96}, {'name': 'design-patterns', 'stars': 256}, {'name': 'web', 'stars': 1630}, {'name': 'web-application', 'stars': 162}, {'name': 'webapp', 'stars': 19219}, {'name': 'python', 'stars': 277237}]",13,11187,493,258,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,2017-02-26T16:15:28Z,2023-08-07T18:15:12Z,329.0,Other,1,,True,donnemartin/system-design-primer,,109
codecrafters-io,build-your-own-x,213075,20782,4562,False,False,[],0,"[{'name': 'programming', 'stars': 1749}, {'name': 'tutorials', 'stars': 155}, {'name': 'tutorial-code', 'stars': 21}, {'name': 'tutorial-exercises', 'stars': 34}, {'name': 'free', 'stars': 142}, {'name': 'awesome-list', 'stars': 1706}]",6,990,331,560,Master programming by recreating your favorite technologies from scratch.,,2018-05-09T12:03:18Z,2023-08-08T19:31:06Z,528.0,,4,,True,codecrafters-io/build-your-own-x,,117
facebook,react,211912,44446,6659,False,False,"[{'name': 'JavaScript', 'size': 4071539}, {'name': 'HTML', 'size': 119939}, {'name': 'CSS', 'size': 63809}, {'name': 'C++', 'size': 44290}, {'name': 'TypeScript', 'size': 21471}, {'name': 'CoffeeScript', 'size': 17480}, {'name': 'C', 'size': 5227}, {'name': 'Shell', 'size': 2205}, {'name': 'Python', 'size': 259}, {'name': 'Makefile', 'size': 189}]",10,"[{'name': 'javascript', 'stars': 163762}, {'name': 'react', 'stars': 95607}, {'name': 'frontend', 'stars': 49235}, {'name': 'declarative', 'stars': 19}, {'name': 'ui', 'stars': 384}, {'name': 'library', 'stars': 18286}]",6,337423,13799,12395,The library for web and native user interfaces,JavaScript,2013-05-24T16:15:54Z,2023-08-18T06:11:39Z,15900.0,MIT License,169,Contributor Covenant,True,facebook/react,,417
