owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
dockersamples,example-voting-app,3728,7864,118,False,False,"[{'name': 'C#', 'size': 5555}, {'name': 'JavaScript', 'size': 3788}, {'name': 'CSS', 'size': 3657}, {'name': 'HTML', 'size': 3227}, {'name': 'Dockerfile', 'size': 3146}, {'name': 'Python', 'size': 1691}, {'name': 'Shell', 'size': 1360}]",7,"[{'name': 'docker', 'stars': 74045}, {'name': 'swarm', 'stars': 15}, {'name': 'kubernetes', 'stars': 37442}, {'name': 'docker-compose', 'stars': 126}, {'name': 'example', 'stars': 21}, {'name': 'sample', 'stars': 5}, {'name': 'demo', 'stars': 25}]",7,1173,214,88,"Example distributed app composed of multiple containers for Docker, Compose, Swarm, and Kubernetes",C#,2015-11-15T19:59:56Z,2023-08-16T19:17:17Z,215.0,Apache License 2.0,7,,True,dockersamples/example-voting-app,,32
imcuttle,mometa,3727,574,69,False,False,"[{'name': 'TypeScript', 'size': 355120}, {'name': 'JavaScript', 'size': 288171}, {'name': 'SCSS', 'size': 7584}, {'name': 'HTML', 'size': 4261}, {'name': 'Handlebars', 'size': 1363}, {'name': 'CSS', 'size': 1320}, {'name': 'Shell', 'size': 65}]",7,"[{'name': 'react', 'stars': 95607}, {'name': 'lowcode', 'stars': 117}, {'name': 'webpack', 'stars': 14015}, {'name': 'frontend', 'stars': 49237}]",4,26791,5,42,🛠 [Beta] 面向研发的低代码元编程，代码可视编辑，辅助编码工具,TypeScript,2021-11-22T11:08:11Z,2023-02-09T06:54:06Z,239.0,MIT License,1,,True,imcuttle/mometa,,2
WeblateOrg,weblate,3727,873,89,False,False,"[{'name': 'Python', 'size': 4522603}, {'name': 'HTML', 'size': 515104}, {'name': 'CSS', 'size': 112129}, {'name': 'JavaScript', 'size': 75940}, {'name': 'Shell', 'size': 40229}, {'name': 'Dockerfile', 'size': 1405}, {'name': 'PHP', 'size': 246}, {'name': 'Fluent', 'size': 158}]",8,"[{'name': 'localization', 'stars': 6036}, {'name': 'internationalization', 'stars': 9}, {'name': 'gettext', 'stars': 1}, {'name': 'django', 'stars': 54911}, {'name': 'crowdsourcing', 'stars': 14}, {'name': 'continuous-localization', 'stars': 1}, {'name': 'python', 'stars': 277240}, {'name': 'l10n', 'stars': 1}, {'name': 'i18n', 'stars': 32}, {'name': 'translation', 'stars': 102}]",11,2281827,4383,4834,Web based localization tool with tight version control integration.,Python,2012-02-27T09:33:29Z,2023-08-18T08:58:54Z,59437.0,GNU General Public License v3.0,6,,True,WeblateOrg/weblate,,313
sergdort,CleanArchitectureRxSwift,3726,491,106,False,False,"[{'name': 'Swift', 'size': 114524}, {'name': 'Objective-C', 'size': 2020}, {'name': 'Ruby', 'size': 1782}, {'name': 'Shell', 'size': 181}]",4,"[{'name': 'ios', 'stars': 40513}, {'name': 'reactive-programming', 'stars': 40}, {'name': 'rxswift', 'stars': 15}, {'name': 'clean-architecture', 'stars': 209}, {'name': 'mvvm', 'stars': 45}, {'name': 'coredata', 'stars': 10}, {'name': 'realm', 'stars': 7}, {'name': 'architecture', 'stars': 320}]",8,98692,31,56,Example of Clean Architecture of iOS app using RxSwift,Swift,2017-02-23T21:47:07Z,2022-12-14T10:18:37Z,136.0,MIT License,1,,True,sergdort/CleanArchitectureRxSwift,,19
python-openxml,python-docx,3726,997,151,False,False,"[{'name': 'Python', 'size': 1110695}, {'name': 'Gherkin', 'size': 80536}, {'name': 'Makefile', 'size': 1130}]",3,[],0,44663,177,1054,Create and modify Word documents with Python,Python,2013-10-15T14:50:41Z,2023-07-17T12:45:14Z,979.0,MIT License,1,,True,python-openxml/python-docx,,11
huzidaha,react-naive-book,3726,523,122,False,False,"[{'name': 'HTML', 'size': 14707}, {'name': 'CSS', 'size': 8751}, {'name': 'JavaScript', 'size': 8739}, {'name': 'Makefile', 'size': 231}, {'name': 'Ruby', 'size': 64}]",5,"[{'name': 'reactjs', 'stars': 1585}]",1,4331,13,34,开源、免费、专业、简单的 React.js 在线教程,HTML,2017-03-14T07:08:37Z,2019-04-24T02:35:44Z,125.0,,1,,True,huzidaha/react-naive-book,,8
Qiskit,qiskit-terra,3725,2015,210,False,False,"[{'name': 'Python', 'size': 15628538}, {'name': 'Rust', 'size': 293086}, {'name': 'OpenQASM', 'size': 162669}, {'name': 'TeX', 'size': 47917}, {'name': 'Jupyter Notebook', 'size': 10210}, {'name': 'C++', 'size': 4820}, {'name': 'Shell', 'size': 4810}, {'name': 'Makefile', 'size': 3126}, {'name': 'Pascal', 'size': 2161}]",9,"[{'name': 'quantum-computing', 'stars': 249}, {'name': 'qiskit', 'stars': 28}, {'name': 'sdk', 'stars': 77}, {'name': 'quantum-programming-language', 'stars': 29}, {'name': 'quantum-circuit', 'stars': 7}, {'name': 'quantum', 'stars': 117}, {'name': 'python', 'stars': 277240}]",7,104563,6619,3983,"Qiskit is an open-source SDK for working with quantum computers at the level of extended quantum circuits, operators, and algorithms.",Python,2017-03-03T17:02:42Z,2023-08-18T08:58:39Z,7773.0,Apache License 2.0,40,Other,True,Qiskit/qiskit-terra,,440
r0x0r,pywebview,3725,486,62,False,False,"[{'name': 'Python', 'size': 273487}, {'name': 'C#', 'size': 7228}, {'name': 'PowerShell', 'size': 1708}, {'name': 'Shell', 'size': 409}, {'name': 'HTML', 'size': 279}, {'name': 'JavaScript', 'size': 26}, {'name': 'CSS', 'size': 23}]",7,"[{'name': 'python', 'stars': 277240}, {'name': 'webkit', 'stars': 25}, {'name': 'gtk', 'stars': 63}, {'name': 'linux', 'stars': 106625}, {'name': 'windows', 'stars': 34209}, {'name': 'gui', 'stars': 351}, {'name': 'osx', 'stars': 73}, {'name': 'cocoa', 'stars': 24}, {'name': 'html', 'stars': 107963}, {'name': 'javascript', 'stars': 163762}]",12,31001,305,811,"Build GUI for your Python program with JavaScript, HTML, and CSS",Python,2014-11-20T11:05:46Z,2023-08-15T12:16:31Z,1752.0,"BSD 3-Clause ""New"" or ""Revised"" License",2,,True,r0x0r/pywebview,,110
wmonk,create-react-app-typescript,3724,506,73,False,True,"[{'name': 'JavaScript', 'size': 78113}, {'name': 'Shell', 'size': 8873}, {'name': 'TypeScript', 'size': 5606}, {'name': 'HTML', 'size': 1590}, {'name': 'CSS', 'size': 440}]",5,"[{'name': 'react', 'stars': 95607}, {'name': 'typescript', 'stars': 39384}, {'name': 'webpack', 'stars': 14015}, {'name': 'frontend', 'stars': 49237}, {'name': 'create-react-app', 'stars': 71}]",5,5040,160,294,DEPRECATED: Create React apps using typescript with no build configuration.,JavaScript,2016-12-10T18:34:32Z,2019-08-21T21:31:39Z,1957.0,,2,,True,wmonk/create-react-app-typescript,,446
sjvasquez,handwriting-synthesis,3724,491,81,False,False,"[{'name': 'Python', 'size': 74750}]",1,"[{'name': 'handwriting-synthesis', 'stars': 11}, {'name': 'handwriting-generation', 'stars': 12}, {'name': 'recurrent-neural-networks', 'stars': 27}, {'name': 'tensorflow', 'stars': 35637}]",4,41172,20,49,Handwriting Synthesis with RNNs ✏️,Python,2018-02-25T21:59:38Z,2023-07-16T08:49:17Z,22.0,,1,,True,sjvasquez/handwriting-synthesis,,0
