owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
2dust,v2rayNG,23131,3675,469,False,False,"[{'name': 'Kotlin', 'size': 309994}, {'name': 'Java', 'size': 9791}]",2,"[{'name': 'android', 'stars': 139799}, {'name': 'proxy', 'stars': 196}, {'name': 'socks5', 'stars': 71}, {'name': 'shadowsocks', 'stars': 297}, {'name': 'trojan', 'stars': 103}, {'name': 'v2ray', 'stars': 304}, {'name': 'v2fly', 'stars': 7}, {'name': 'xray', 'stars': 15}, {'name': 'vmess', 'stars': 77}, {'name': 'vless', 'stars': 21}]",12,233206,192,2052,"A V2Ray client for Android, support Xray core and v2fly core",Kotlin,2019-05-15T02:15:31Z,2023-08-17T17:42:09Z,77.0,GNU General Public License v3.0,1,,True,2dust/v2rayNG,,32
kahun,awesome-sysadmin,23125,2884,1299,False,False,[],0,[],0,592,495,98,A curated list of amazingly awesome open source sysadmin resources inspired by Awesome PHP.,,2014-02-09T22:39:20Z,2023-08-03T14:53:30Z,515.0,Other,1,,True,kahun/awesome-sysadmin,,124
Wox-launcher,Wox,23122,2376,532,False,False,"[{'name': 'C#', 'size': 637543}, {'name': 'Python', 'size': 7822}, {'name': 'PowerShell', 'size': 5031}]",3,"[{'name': 'launchy', 'stars': 4}, {'name': 'alfred', 'stars': 81}, {'name': 'launcher', 'stars': 68}, {'name': 'wox', 'stars': 5}, {'name': 'spotlight', 'stars': 14}, {'name': 'windows', 'stars': 34209}]",6,98266,468,3437,"Launcher for Windows, an alternative to Alfred and Launchy.",C#,2013-12-19T15:49:32Z,2023-06-19T22:56:44Z,2753.0,MIT License,6,,True,Wox-launcher/Wox,,109
dimsemenov,PhotoSwipe,23122,3348,542,False,False,"[{'name': 'JavaScript', 'size': 456917}, {'name': 'CSS', 'size': 32765}, {'name': 'TypeScript', 'size': 811}]",3,"[{'name': 'gallery', 'stars': 23}, {'name': 'lightbox', 'stars': 7}, {'name': 'image', 'stars': 84}, {'name': 'javascript', 'stars': 163762}]",4,30164,226,1785,"JavaScript image gallery for mobile and desktop, modular, framework independent",JavaScript,2011-04-07T05:46:29Z,2023-08-14T08:49:47Z,704.0,MIT License,1,,True,dimsemenov/PhotoSwipe,,69
sirupsen,logrus,23111,2267,318,False,False,"[{'name': 'Go', 'size': 149941}, {'name': 'Shell', 'size': 402}]",2,"[{'name': 'logging', 'stars': 77}, {'name': 'logrus', 'stars': 3}, {'name': 'go', 'stars': 58453}]",3,999,726,670,"Structured, pluggable logging for Go.",Go,2013-10-16T19:08:55Z,2023-07-21T15:53:03Z,1246.0,MIT License,12,,True,sirupsen/logrus,,232
pure-css,pure,23106,2538,741,False,False,"[{'name': 'JavaScript', 'size': 181600}, {'name': 'HTML', 'size': 125379}, {'name': 'CSS', 'size': 64387}]",3,"[{'name': 'css', 'stars': 96882}, {'name': 'pure', 'stars': 2}, {'name': 'html', 'stars': 107963}]",3,4854,577,573,"A set of small, responsive CSS modules that you can use in every web project.",JavaScript,2013-04-22T16:16:39Z,2023-08-16T12:04:00Z,894.0,Other,3,Contributor Covenant,True,pure-css/pure,,72
vapor,vapor,23103,1420,528,False,False,"[{'name': 'Swift', 'size': 1128812}, {'name': 'C', 'size': 62348}, {'name': 'HTML', 'size': 67}]",3,"[{'name': 'vapor', 'stars': 20}, {'name': 'swift', 'stars': 28534}, {'name': 'server-side-swift', 'stars': 35}, {'name': 'web-framework', 'stars': 113}, {'name': 'server', 'stars': 20054}, {'name': 'framework', 'stars': 31818}, {'name': 'http', 'stars': 36527}, {'name': 'http2', 'stars': 29}]",8,16743,1402,1587,💧 A server-side Swift HTTP web framework.,Swift,2016-01-18T22:37:52Z,2023-08-16T13:57:18Z,5718.0,MIT License,66,Other,True,vapor/vapor,,236
MonitorControl,MonitorControl,23030,707,154,False,False,"[{'name': 'Swift', 'size': 234359}, {'name': 'Objective-C', 'size': 3387}]",2,"[{'name': 'macos', 'stars': 33710}, {'name': 'keyboard', 'stars': 56}, {'name': 'brightness', 'stars': 1}, {'name': 'volume', 'stars': 6}, {'name': 'external-monitor', 'stars': 4}, {'name': 'm1', 'stars': 17}, {'name': 'apple', 'stars': 283}, {'name': 'silicon', 'stars': 7}, {'name': 'ddc', 'stars': 1}, {'name': 'macos-app', 'stars': 79}]",18,29797,235,799,🖥 Control your display's brightness & volume on your Mac as if it was a native Apple Display. Use Apple Keyboard keys or custom shortcuts. Shows the native macOS OSDs.,Swift,2017-09-16T21:13:40Z,2023-08-14T16:08:30Z,236.0,MIT License,3,,True,MonitorControl/MonitorControl,,70
microsoft,cascadia-code,23021,759,250,False,False,"[{'name': 'Python', 'size': 21463}]",1,[],0,19187,97,578,"This is a fun, new monospaced font that includes programming ligatures and is designed to enhance the modern look and feel of the Windows Terminal.",Python,2019-07-10T22:50:20Z,2023-07-19T14:05:12Z,196.0,Other,2282,Other,True,microsoft/cascadia-code,,19
StreisandEffect,streisand,23017,2036,629,False,True,"[{'name': 'Shell', 'size': 41039}, {'name': 'Python', 'size': 16546}, {'name': 'HTML', 'size': 5780}]",3,"[{'name': 'vpn', 'stars': 379}, {'name': 'ansible', 'stars': 27584}, {'name': 'openvpn', 'stars': 54}, {'name': 'wireguard', 'stars': 123}, {'name': 'openconnect', 'stars': 4}, {'name': 'anyconnect', 'stars': 4}, {'name': 'shadowsocks', 'stars': 297}, {'name': 'stunnel', 'stars': 6}, {'name': 'tor', 'stars': 100}, {'name': 'ssh', 'stars': 102}]",12,4116,649,1140,"Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists.",Shell,2014-03-23T21:56:19Z,2021-05-04T09:42:40Z,1424.0,Other,9,,True,StreisandEffect/streisand,,128
